familyLabel
Aldehydic
Amber
Animalic
Aquatic
Aromatic
Balsamic
Chypre
Citrus
Earthy
Floral
Fougère
Fresh
Fruity
Gourmand
Green
Herbal
Leather
Marine
Mineral
Musky
Ozonic
Oriental
Powdery
Resinous
Smoky
Spicy
Sweet
Tobacco
Vanilla
Woody
